-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/1983 through 12/31/2008 
Location: Latitude  50.854   Longitude 4.3484 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 76.01 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,T2M_RANGE
50.85401,4.34841,1983,03,14,   12.53,    6.69,    8.96,    5.84
50.85401,4.34841,1983,03,15,    8.13,    0.84,    5.28,    7.29
50.85401,4.34841,1983,03,16,   11.08,    1.69,    5.48,    9.39
50.85401,4.34841,1983,03,17,   11.70,    3.43,    7.90,    8.27
50.85401,4.34841,1983,03,18,   12.12,    7.49,    9.48,    4.63
50.85401,4.34841,1983,03,19,   12.39,    7.26,    9.51,    5.13
50.85401,4.34841,1983,03,20,   10.48,    6.38,    7.76,    4.10
50.85401,4.34841,1983,03,21,    8.72,    2.94,    6.13,    5.77
50.85401,4.34841,1983,03,22,    7.44,    2.01,    4.56,    5.43
50.85401,4.34841,1983,03,23,    9.49,    1.92,    5.89,    7.57
50.85401,4.34841,1983,03,24,    7.54,    1.99,    5.14,    5.55
50.85401,4.34841,1983,03,25,    6.74,    1.20,    3.50,    5.54
50.85401,4.34841,1983,03,26,    5.68,   -1.12,    3.05,    6.80
50.85401,4.34841,1983,03,27,    6.76,   -0.65,    2.82,    7.41
50.85401,4.34841,1983,03,28,    6.32,   -0.65,    2.94,    6.97
50.85401,4.34841,1983,03,29,    7.78,    0.73,    4.12,    7.05
50.85401,4.34841,1983,03,30,    9.67,    3.68,    6.22,    5.99
50.85401,4.34841,1983,03,31,    8.19,    3.43,    5.61,    4.75
50.85401,4.34841,1983,04,01,    9.50,    3.09,    6.06,    6.42
50.85401,4.34841,1983,04,02,    8.96,    2.14,    5.48,    6.83
50.85401,4.34841,1983,04,03,    6.14,   -0.03,    2.85,    6.16
50.85401,4.34841,1983,04,04,    4.19,   -2.55,    1.70,    6.74
50.85401,4.34841,1983,04,05,    7.33,    1.59,    4.68,    5.74
50.85401,4.34841,1983,04,06,    8.52,    3.27,    5.40,    5.25
50.85401,4.34841,1983,04,07,    9.70,    2.82,    5.59,    6.88
50.85401,4.34841,1983,04,08,   11.45,    3.90,    6.82,    7.54
50.85401,4.34841,1983,04,09,   11.25,    3.30,    6.57,    7.95
50.85401,4.34841,1983,04,10,   14.46,    4.87,    9.73,    9.59
50.85401,4.34841,1983,04,11,   10.37,    5.40,    7.95,    4.97
50.85401,4.34841,1983,04,12,    7.13,    2.99,    4.67,    4.14
50.85401,4.34841,1983,04,13,    8.85,    2.55,    5.45,    6.30
50.85401,4.34841,1983,04,14,    9.86,    2.99,    5.68,    6.87
50.85401,4.34841,1983,04,15,   14.58,    4.36,    8.53,   10.23
50.85401,4.34841,1983,04,16,   17.03,    2.77,   10.37,   14.26
50.85401,4.34841,1983,04,17,   15.43,    9.04,   11.89,    6.39
50.85401,4.34841,1983,04,18,   18.07,    8.08,   12.68,   10.00
50.85401,4.34841,1983,04,19,   11.91,    3.55,    8.38,    8.37
50.85401,4.34841,1983,04,20,   15.35,    2.38,   10.04,   12.97
50.85401,4.34841,1983,04,21,   11.95,    5.55,    8.44,    6.40
50.85401,4.34841,1983,04,22,   15.52,    5.09,   10.41,   10.42
50.85401,4.34841,1983,04,23,   11.97,    6.47,    9.40,    5.51
50.85401,4.34841,1983,04,24,   15.76,    5.79,   10.19,    9.97
50.85401,4.34841,1983,04,25,   14.51,    6.40,   10.31,    8.11
50.85401,4.34841,1983,04,26,   14.38,    4.25,    9.52,   10.13
50.85401,4.34841,1983,04,27,   13.54,    7.35,   10.33,    6.19
50.85401,4.34841,1983,04,28,   14.11,    6.85,   10.07,    7.26
50.85401,4.34841,1983,04,29,   13.81,    6.99,   10.21,    6.82
50.85401,4.34841,1983,04,30,   16.67,    5.39,   11.87,   11.28
50.85401,4.34841,1983,05,01,   14.26,    6.73,   10.98,    7.52
50.85401,4.34841,1983,05,02,   11.68,    6.08,    8.57,    5.60
50.85401,4.34841,1983,05,03,   12.01,    4.69,    8.66,    7.31
50.85401,4.34841,1983,05,04,   14.21,    4.67,    9.64,    9.53
50.85401,4.34841,1983,05,05,   16.95,    5.33,   11.61,   11.61
50.85401,4.34841,1983,05,06,   18.01,    8.83,   12.87,    9.18
50.85401,4.34841,1983,05,07,   15.42,    9.37,   12.23,    6.05
50.85401,4.34841,1983,05,08,   13.75,    8.31,   10.84,    5.44
50.85401,4.34841,1983,05,09,   14.78,    6.84,   10.63,    7.94
50.85401,4.34841,1983,05,10,   11.09,    4.68,    7.97,    6.41
50.85401,4.34841,1983,05,11,   10.88,    5.17,    7.97,    5.70
50.85401,4.34841,1983,05,12,   13.41,    6.96,    9.78,    6.45
50.85401,4.34841,1983,05,13,   14.33,    6.67,   10.72,    7.66
50.85401,4.34841,1983,05,14,   15.94,    6.93,   10.88,    9.02
50.85401,4.34841,1983,05,15,   16.19,    6.53,   11.46,    9.66
50.85401,4.34841,1983,05,16,   16.00,    8.17,   12.35,    7.83
50.85401,4.34841,1983,05,17,   14.38,    8.00,   11.02,    6.38
50.85401,4.34841,1983,05,18,   14.67,    7.35,   11.13,    7.32
50.85401,4.34841,1983,05,19,   14.46,    8.03,   11.06,    6.43
50.85401,4.34841,1983,05,20,   12.36,    7.07,   10.05,    5.29
50.85401,4.34841,1983,05,21,   11.07,    5.00,    8.35,    6.06
50.85401,4.34841,1983,05,22,   14.76,    4.66,   10.16,   10.10
50.85401,4.34841,1983,05,23,   15.15,    5.28,   10.85,    9.87
50.85401,4.34841,1983,05,24,   12.80,    7.90,    9.94,    4.90
50.85401,4.34841,1983,05,25,   11.44,    7.64,    9.44,    3.80
50.85401,4.34841,1983,05,26,   12.75,    6.44,    9.29,    6.31
50.85401,4.34841,1983,05,27,   12.66,    6.15,    9.32,    6.50
50.85401,4.34841,1983,05,28,   12.15,    7.11,    9.20,    5.04
50.85401,4.34841,1983,05,29,   13.05,    6.13,    9.72,    6.92
50.85401,4.34841,1983,05,30,   15.97,    5.90,   11.21,   10.08
50.85401,4.34841,1983,05,31,   20.96,    8.87,   15.28,   12.09
50.85401,4.34841,1983,06,01,   22.75,   13.83,   16.84,    8.92
50.85401,4.34841,1983,06,02,   17.03,   10.47,   14.28,    6.56
50.85401,4.34841,1983,06,03,   21.14,    8.65,   16.32,   12.49
50.85401,4.34841,1983,06,04,   23.48,   13.83,   18.39,    9.65
50.85401,4.34841,1983,06,05,   19.01,   12.86,   15.65,    6.15
50.85401,4.34841,1983,06,06,   19.27,    9.32,   14.28,    9.96
50.85401,4.34841,1983,06,07,   23.63,    9.06,   17.08,   14.57
50.85401,4.34841,1983,06,08,   24.68,   13.31,   17.95,   11.36
50.85401,4.34841,1983,06,09,   18.95,   10.31,   15.60,    8.64
50.85401,4.34841,1983,06,10,   17.71,    9.29,   13.76,    8.42
50.85401,4.34841,1983,06,11,   18.22,    8.08,   13.75,   10.14
50.85401,4.34841,1983,06,12,   20.44,    9.20,   15.82,   11.24
50.85401,4.34841,1983,06,13,   19.08,    9.39,   14.56,    9.69
50.85401,4.34841,1983,06,14,   17.40,    8.93,   13.48,    8.47
50.85401,4.34841,1983,06,15,   15.87,    5.86,   11.69,   10.00
50.85401,4.34841,1983,06,16,   15.58,    4.80,   10.77,   10.78
50.85401,4.34841,1983,06,17,   15.65,    5.42,   11.01,   10.23
50.85401,4.34841,1983,06,18,   16.98,    6.70,   12.95,   10.28
50.85401,4.34841,1983,06,19,   20.75,    9.95,   15.77,   10.80
50.85401,4.34841,1983,06,20,   23.06,   10.30,   17.30,   12.76
50.85401,4.34841,1983,06,21,   24.47,   12.85,   19.03,   11.62
50.85401,4.34841,1983,06,22,   25.01,   15.32,   20.84,    9.69
50.85401,4.34841,1983,06,23,   23.41,   15.76,   19.82,    7.65
50.85401,4.34841,1983,06,24,   23.63,   14.60,   19.36,    9.03
50.85401,4.34841,1983,06,25,   22.75,   13.71,   18.71,    9.04
50.85401,4.34841,1983,06,26,   22.11,   13.90,   18.20,    8.21
50.85401,4.34841,1983,06,27,   17.44,    9.11,   14.49,    8.33
50.85401,4.34841,1983,06,28,   17.84,    7.01,   13.36,   10.83
50.85401,4.34841,1983,06,29,   19.25,   10.37,   14.97,    8.88
50.85401,4.34841,1983,06,30,   17.25,   10.44,   14.69,    6.81
50.85401,4.34841,1983,07,01,   18.42,    8.13,   14.36,   10.29
50.85401,4.34841,1983,07,02,   21.41,   10.29,   16.61,   11.12
50.85401,4.34841,1983,07,03,   22.95,   12.97,   17.89,    9.98
50.85401,4.34841,1983,07,04,   23.92,   11.05,   18.44,   12.88
50.85401,4.34841,1983,07,05,   26.10,   13.67,   20.82,   12.44
50.85401,4.34841,1983,07,06,   24.59,   16.40,   20.48,    8.19
50.85401,4.34841,1983,07,07,   24.92,   17.14,   20.90,    7.77
50.85401,4.34841,1983,07,08,   25.79,   17.02,   21.40,    8.77
50.85401,4.34841,1983,07,09,   26.74,   16.39,   21.97,   10.35
50.85401,4.34841,1983,07,10,   27.44,   17.53,   22.70,    9.91
50.85401,4.34841,1983,07,11,   29.73,   19.03,   23.91,   10.71
