-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2009 through 12/31/2020 
Location: Latitude  51.2202   Longitude 4.4131 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 18.98 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
WS50M MERRA2 1/2x1/2 Wind Speed at 50 Meters (m/s) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_RANGE,T2M_MAX,T2M_MIN,T2M,WS50M,PRECTOT,RH2M
51.22021,4.41311,2009,02,19,    7.09,    4.43,   -2.66,    1.12,    4.76,    0.50,   85.32
51.22021,4.41311,2009,02,20,    3.02,    5.42,    2.40,    3.90,    6.59,    0.69,   97.83
51.22021,4.41311,2009,02,21,    4.94,    7.48,    2.54,    4.67,    4.62,    0.23,   92.59
51.22021,4.41311,2009,02,22,    4.59,    8.30,    3.70,    5.50,    7.66,    0.84,   95.05
51.22021,4.41311,2009,02,23,    3.81,    7.19,    3.38,    5.16,    7.27,    1.49,   95.39
51.22021,4.41311,2009,02,24,    7.97,    7.74,   -0.23,    3.98,    3.02,    0.15,   86.47
51.22021,4.41311,2009,02,25,    9.07,    7.64,   -1.44,    3.57,    6.98,    0.30,   95.51
51.22021,4.41311,2009,02,26,    4.08,    8.63,    4.55,    5.89,    8.14,    0.23,   89.47
51.22021,4.41311,2009,02,27,    4.08,    8.09,    4.01,    6.13,    6.87,    1.65,   96.50
51.22021,4.41311,2009,02,28,    7.24,    9.63,    2.39,    5.72,    4.29,    0.11,   94.08
51.22021,4.41311,2009,03,01,    7.04,   10.11,    3.07,    6.46,    5.12,    0.50,   93.76
51.22021,4.41311,2009,03,02,    7.61,    9.33,    1.72,    5.35,    5.67,    0.06,   89.89
51.22021,4.41311,2009,03,03,    6.51,    8.99,    2.48,    5.03,    9.13,    0.49,   85.59
51.22021,4.41311,2009,03,04,    4.42,    6.52,    2.10,    4.27,    9.54,    2.77,   87.32
51.22021,4.41311,2009,03,05,    6.53,    7.08,    0.55,    3.57,    6.08,    0.11,   85.52
51.22021,4.41311,2009,03,06,    6.97,    7.45,    0.49,    3.75,    9.05,    0.17,   84.31
51.22021,4.41311,2009,03,07,    9.09,    9.01,   -0.09,    4.43,    6.23,    0.12,   94.13
51.22021,4.41311,2009,03,08,    6.57,    9.71,    3.14,    6.75,   10.81,    4.42,   81.19
51.22021,4.41311,2009,03,09,    5.78,    7.95,    2.17,    4.91,   10.66,    1.49,   84.89
51.22021,4.41311,2009,03,10,    5.33,    8.60,    3.27,    5.24,    9.46,    9.03,   93.71
51.22021,4.41311,2009,03,11,    7.38,    9.67,    2.29,    5.30,    6.54,    0.01,   82.92
51.22021,4.41311,2009,03,12,    7.61,   11.06,    3.45,    7.46,    8.84,    2.29,   91.20
51.22021,4.41311,2009,03,13,    6.85,   11.17,    4.31,    7.72,    3.98,    0.10,   83.53
51.22021,4.41311,2009,03,14,    6.60,   12.37,    5.77,    8.20,    7.81,    0.58,   88.78
51.22021,4.41311,2009,03,15,    7.27,   11.52,    4.24,    7.06,    7.38,    0.00,   86.52
51.22021,4.41311,2009,03,16,    8.64,   12.50,    3.86,    7.16,    1.54,    0.09,   85.10
51.22021,4.41311,2009,03,17,   11.72,   13.55,    1.83,    7.20,    5.86,    0.00,   85.18
51.22021,4.41311,2009,03,18,   11.92,   11.62,   -0.29,    5.04,    4.20,    0.00,   70.75
51.22021,4.41311,2009,03,19,    9.82,   11.14,    1.33,    5.79,    6.17,    0.00,   77.01
