-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/1983 through 12/31/2008 
Location: Latitude  51.2202   Longitude 4.4131 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 18.98 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,T2M_RANGE
51.22021,4.41311,1983,03,14,   12.36,    6.33,    8.64,    6.04
51.22021,4.41311,1983,03,15,    8.63,    1.70,    5.08,    6.93
51.22021,4.41311,1983,03,16,   11.10,    2.56,    6.13,    8.53
51.22021,4.41311,1983,03,17,   12.07,    4.60,    8.34,    7.47
51.22021,4.41311,1983,03,18,   12.35,    7.07,    9.47,    5.28
51.22021,4.41311,1983,03,19,   11.24,    6.74,    8.98,    4.50
51.22021,4.41311,1983,03,20,    9.77,    6.33,    7.68,    3.44
51.22021,4.41311,1983,03,21,    8.55,    3.12,    5.93,    5.42
51.22021,4.41311,1983,03,22,    7.63,    2.69,    4.92,    4.94
51.22021,4.41311,1983,03,23,    9.32,    2.47,    6.10,    6.85
51.22021,4.41311,1983,03,24,    7.61,    2.59,    5.42,    5.02
51.22021,4.41311,1983,03,25,    6.80,    2.28,    4.09,    4.52
51.22021,4.41311,1983,03,26,    5.99,    0.15,    3.71,    5.84
51.22021,4.41311,1983,03,27,    7.31,    0.32,    3.48,    6.99
51.22021,4.41311,1983,03,28,    6.53,   -0.80,    3.28,    7.33
51.22021,4.41311,1983,03,29,    8.04,    1.39,    4.70,    6.65
51.22021,4.41311,1983,03,30,    9.67,    4.34,    6.66,    5.32
51.22021,4.41311,1983,03,31,    8.43,    3.69,    5.75,    4.75
51.22021,4.41311,1983,04,01,   10.17,    3.97,    6.70,    6.20
51.22021,4.41311,1983,04,02,    8.84,    2.65,    5.81,    6.19
51.22021,4.41311,1983,04,03,    6.49,    0.16,    3.39,    6.33
51.22021,4.41311,1983,04,04,    4.75,   -1.47,    2.22,    6.22
51.22021,4.41311,1983,04,05,    7.88,    1.79,    4.98,    6.08
51.22021,4.41311,1983,04,06,    8.51,    3.45,    5.74,    5.06
51.22021,4.41311,1983,04,07,    9.68,    3.36,    5.91,    6.33
51.22021,4.41311,1983,04,08,   11.16,    4.07,    6.49,    7.09
51.22021,4.41311,1983,04,09,   11.40,    3.21,    6.79,    8.19
51.22021,4.41311,1983,04,10,   14.31,    4.69,    9.36,    9.62
51.22021,4.41311,1983,04,11,   10.56,    5.67,    8.16,    4.89
51.22021,4.41311,1983,04,12,    7.30,    3.50,    5.09,    3.80
51.22021,4.41311,1983,04,13,    9.21,    2.94,    6.02,    6.27
51.22021,4.41311,1983,04,14,    9.98,    4.30,    6.58,    5.69
51.22021,4.41311,1983,04,15,   13.93,    4.47,    8.65,    9.46
51.22021,4.41311,1983,04,16,   16.79,    3.00,   10.40,   13.79
