-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2009 through 12/31/2020 
Location: Latitude  50.2596   Longitude 4.9519 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 213.65 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
WS50M MERRA2 1/2x1/2 Wind Speed at 50 Meters (m/s) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_RANGE,T2M_MAX,T2M_MIN,T2M,WS50M,PRECTOT,RH2M
50.25961,4.95191,2009,02,18,    4.39,    0.97,   -3.42,   -1.77,    3.84,    0.01,   75.82
50.25961,4.95191,2009,02,19,    7.87,    3.51,   -4.36,   -0.52,    4.35,    0.20,   81.52
50.25961,4.95191,2009,02,20,    2.49,    3.30,    0.81,    1.88,    6.15,    1.23,   99.42
50.25961,4.95191,2009,02,21,    5.75,    5.83,    0.08,    2.33,    3.77,    0.34,   95.91
50.25961,4.95191,2009,02,22,    3.21,    5.39,    2.18,    3.28,    6.83,    1.35,   98.88
50.25961,4.95191,2009,02,23,    2.87,    5.01,    2.14,    3.57,    6.44,    1.84,   97.88
50.25961,4.95191,2009,02,24,    7.18,    6.93,   -0.26,    2.77,    3.55,    0.20,   88.39
50.25961,4.95191,2009,02,25,    9.19,    6.66,   -2.53,    1.84,    4.96,    0.06,   89.96
50.25961,4.95191,2009,02,26,    4.43,    6.46,    2.04,    3.65,    7.21,    0.54,   95.85
50.25961,4.95191,2009,02,27,    3.83,    5.74,    1.91,    3.81,    6.26,    0.66,   98.65
50.25961,4.95191,2009,02,28,    7.93,   10.17,    2.24,    4.90,    4.28,    0.08,   96.14
50.25961,4.95191,2009,03,01,    9.07,   11.12,    2.06,    5.86,    6.22,    1.30,   96.34
50.25961,4.95191,2009,03,02,    8.27,    8.97,    0.70,    5.15,    5.01,    0.46,   88.65
50.25961,4.95191,2009,03,03,    8.33,    8.21,   -0.12,    3.40,    7.80,    0.04,   85.68
50.25961,4.95191,2009,03,04,    4.62,    5.56,    0.94,    2.85,    9.34,    4.09,   91.25
50.25961,4.95191,2009,03,05,    6.02,    6.08,    0.06,    2.53,    6.05,    1.00,   86.50
50.25961,4.95191,2009,03,06,    7.92,    6.67,   -1.25,    2.30,   10.05,    1.33,   85.96
50.25961,4.95191,2009,03,07,    8.08,    7.95,   -0.13,    3.19,    5.63,    0.19,   92.77
50.25961,4.95191,2009,03,08,    7.28,    9.50,    2.22,    5.10,   10.16,    4.95,   86.10
50.25961,4.95191,2009,03,09,    5.59,    6.81,    1.22,    3.58,    9.93,    1.80,   86.42
50.25961,4.95191,2009,03,10,    4.93,    7.29,    2.37,    3.91,    9.25,   10.85,   95.71
50.25961,4.95191,2009,03,11,    8.04,    8.67,    0.62,    3.75,    5.83,    0.14,   81.90
50.25961,4.95191,2009,03,12,    8.73,    9.46,    0.73,    5.31,    8.45,    2.17,   93.18
50.25961,4.95191,2009,03,13,    6.03,   11.29,    5.25,    7.64,    3.79,    0.41,   86.34
50.25961,4.95191,2009,03,14,    9.15,   13.33,    4.18,    7.40,    7.07,    0.62,   90.49
50.25961,4.95191,2009,03,15,    9.08,   11.18,    2.10,    6.02,    6.94,    0.01,   85.76
50.25961,4.95191,2009,03,16,    9.48,   11.42,    1.94,    5.70,    2.61,    0.05,   90.58
50.25961,4.95191,2009,03,17,   12.04,   13.24,    1.20,    6.31,    4.71,    0.00,   87.52
50.25961,4.95191,2009,03,18,   14.26,   12.18,   -2.08,    4.76,    5.04,    0.00,   65.91
50.25961,4.95191,2009,03,19,   10.78,   10.74,   -0.04,    5.28,    5.92,    0.00,   69.19
50.25961,4.95191,2009,03,20,   11.49,    8.75,   -2.74,    2.65,    5.03,    0.00,   71.61
50.25961,4.95191,2009,03,21,   11.92,   10.08,   -1.83,    3.41,    2.98,    0.00,   70.43
50.25961,4.95191,2009,03,22,   11.59,    9.85,   -1.73,    4.00,    6.47,    0.23,   85.88
50.25961,4.95191,2009,03,23,    7.24,   10.06,    2.82,    5.61,    9.85,    5.98,   91.10
50.25961,4.95191,2009,03,24,    6.50,    7.25,    0.75,    3.45,    9.67,    3.46,   85.45
50.25961,4.95191,2009,03,25,    6.18,    6.97,    0.79,    3.64,    9.49,   14.36,   94.19
50.25961,4.95191,2009,03,26,    4.26,    7.10,    2.84,    5.59,   10.19,    7.17,   95.03
50.25961,4.95191,2009,03,27,    4.06,    7.69,    3.63,    5.24,    8.83,    2.28,   87.47
50.25961,4.95191,2009,03,28,    4.61,    7.73,    3.12,    5.00,    8.72,    7.35,   88.08
50.25961,4.95191,2009,03,29,    9.06,    7.83,   -1.22,    3.71,    6.35,    1.12,   87.53
