-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/1983 through 12/31/2008 
Location: Latitude  50.2596   Longitude 4.9519 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 213.65 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,T2M_RANGE
50.25961,4.95191,1983,03,14,   11.91,    6.64,    8.90,    5.27
50.25961,4.95191,1983,03,15,    8.03,    1.62,    5.77,    6.41
50.25961,4.95191,1983,03,16,    9.51,    0.73,    4.28,    8.78
50.25961,4.95191,1983,03,17,    8.77,    1.10,    5.75,    7.67
50.25961,4.95191,1983,03,18,    9.82,    7.29,    8.54,    2.52
50.25961,4.95191,1983,03,19,   11.41,    6.87,    8.91,    4.53
50.25961,4.95191,1983,03,20,    9.76,    5.76,    7.20,    4.00
50.25961,4.95191,1983,03,21,    7.81,    2.72,    5.95,    5.09
50.25961,4.95191,1983,03,22,    5.91,    1.12,    3.36,    4.79
50.25961,4.95191,1983,03,23,    8.53,    1.16,    5.08,    7.37
50.25961,4.95191,1983,03,24,    6.60,    0.98,    4.36,    5.63
50.25961,4.95191,1983,03,25,    5.27,   -0.27,    2.18,    5.54
50.25961,4.95191,1983,03,26,    4.34,   -1.75,    1.85,    6.08
50.25961,4.95191,1983,03,27,    4.69,   -1.87,    1.38,    6.56
50.25961,4.95191,1983,03,28,    5.15,   -0.74,    2.06,    5.89
50.25961,4.95191,1983,03,29,    6.58,   -0.22,    2.95,    6.80
50.25961,4.95191,1983,03,30,    8.33,    2.07,    4.72,    6.26
50.25961,4.95191,1983,03,31,    7.12,    2.88,    5.04,    4.25
50.25961,4.95191,1983,04,01,    8.45,    3.18,    5.41,    5.26
50.25961,4.95191,1983,04,02,    8.06,    1.93,    4.89,    6.13
50.25961,4.95191,1983,04,03,    4.79,   -0.32,    2.09,    5.11
50.25961,4.95191,1983,04,04,    2.88,   -3.01,    0.87,    5.89
