-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2009 through 12/31/2020 
Location: Latitude  50.8454   Longitude 4.3484 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 76.01 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
WS50M MERRA2 1/2x1/2 Wind Speed at 50 Meters (m/s) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_RANGE,T2M_MAX,T2M_MIN,T2M,WS50M,PRECTOT,RH2M
50.84541,4.34841,2009,02,19,    8.53,    4.96,   -3.58,    0.62,    4.59,    0.28,   82.61
50.84541,4.34841,2009,02,20,    3.53,    4.87,    1.35,    2.83,    6.02,    0.72,   99.01
50.84541,4.34841,2009,02,21,    6.04,    7.40,    1.36,    3.79,    4.28,    0.22,   93.95
50.84541,4.34841,2009,02,22,    4.90,    7.83,    2.92,    4.77,    7.08,    0.99,   96.61
50.84541,4.34841,2009,02,23,    4.24,    6.82,    2.59,    4.65,    6.59,    1.52,   96.68
50.84541,4.34841,2009,02,24,    7.96,    7.68,   -0.28,    3.63,    2.92,    0.19,   86.08
50.84541,4.34841,2009,02,25,   10.15,    7.92,   -2.23,    3.14,    6.14,    0.17,   92.58
50.84541,4.34841,2009,02,26,    4.92,    8.89,    3.97,    5.40,    7.62,    0.26,   90.27
50.84541,4.34841,2009,02,27,    5.46,    8.59,    3.13,    5.64,    6.50,    1.01,   96.87
50.84541,4.34841,2009,02,28,    7.89,   10.33,    2.44,    5.55,    4.19,    0.10,   94.50
50.84541,4.34841,2009,03,01,    8.26,   11.21,    2.96,    6.47,    5.33,    0.79,   94.23
50.84541,4.34841,2009,03,02,    8.84,    9.92,    1.08,    5.57,    5.40,    0.11,   87.80
50.84541,4.34841,2009,03,03,    7.76,    9.36,    1.60,    4.60,    8.65,    0.20,   83.63
50.84541,4.34841,2009,03,04,    4.34,    6.19,    1.85,    3.75,    9.49,    2.90,   88.12
